titles1,title2,title
The Assassination of Jesse James by the Coward Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,The Assassination of Jesse James by the Coward Robert Ford
1911,1911,1911
Little Nicholas,Little Nicholas,Little Nicholas
Wild Card,Wild Card,Wild Card
Machine Gun Preacher,Machine Gun Preacher,Machine Gun Preacher
Animals United,Animals United,Animals United
Goodbye Bafana,Goodbye Bafana,Goodbye Bafana
United Passions,United Passions,United Passions
Grace of Monaco,Grace of Monaco,Grace of Monaco
Savva. Heart of the Warrior,Savva. Heart of the Warrior,Savva. Heart of the Warrior
Ripley's Game,Ripley`s Game,Ripley`s Game
Sausage Party,Sausage Party,Sausage Party
Pitch Perfect 2,Pitch Perfect 2,Pitch Perfect 2
Walk the Line,Walk the Line,Walk the Line
Keeping the Faith,Keeping the Faith,Keeping the Faith
The Borrowers,The Borrowers,The Borrowers
Frost/Nixon,Frost/Nixon,Frost/Nixon
Confessions of a Dangerous Mind,Confessions of a Dangerous Mind,Confessions of a Dangerous Mind
Serving Sara,Serving Sara,Serving Sara
The Boss,The Boss,The Boss
Cry Freedom,Cry Freedom,Cry Freedom
Mumford,Mumford,Mumford
Seed of Chucky,Seed of Chucky,Seed of Chucky
The Jacket,The Jacket,The Jacket
Aladdin,Aladdin,Aladdin
Straight Outta Compton,Straight Outta Compton,Straight Outta Compton
Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom
The Rugrats Movie,The Rugrats Movie,The Rugrats Movie
Along Came a Spider,Along Came a Spider,Along Came a Spider
Florence Foster Jenkins,Florence Foster Jenkins,Florence Foster Jenkins
Once Upon a Time in Mexico,Once Upon a Time in Mexico,Once Upon a Time in Mexico
Die Hard,Die Hard,Die Hard
Role Models,Role Models,Role Models
The Big Short,The Big Short,The Big Short
Taking Woodstock,Taking Woodstock,Taking Woodstock
Miracle,Miracle,Miracle
Dawn of the Dead,Dawn of the Dead,Dawn of the Dead
The Wedding Planner,The Wedding Planner,The Wedding Planner
Space Pirate Captain Harlock,Space Pirate Captain Harlock,Space Pirate Captain Harlock
The Royal Tenenbaums,The Royal Tenenbaums,The Royal Tenenbaums
Identity,Identity,Identity
Last Vegas,Last Vegas,Last Vegas
For Your Eyes Only,For Your Eyes Only,For Your Eyes Only
Serendipity,Serendipity,Serendipity
Timecop,Timecop,Timecop
Zoolander,Zoolander,Zoolander
Safe Haven,Safe Haven,Safe Haven
Hocus Pocus,Hocus Pocus,Hocus Pocus
No Reservations,No Reservations,No Reservations
Kick-Ass,Kick-Ass,Kick-Ass
30 Minutes or Less,30 Minutes or Less,30 Minutes or Less
Dracula 2000,Dracula 2000,Dracula 2000
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day"
Pride & Prejudice,Pride & Prejudice,Pride (and) Prejudice
Blade Runner,Blade Runner,Blade Runner
Rob Roy,Rob Roy,Rob Roy
3 Days to Kill,3 Days to Kill,3 Days to Kill
We Own the Night,We Own the Night,We Own the Night
Lost Souls,Lost Souls,Lost Souls
Winged Migration,Winged Migration,Winged Migration
Just My Luck,Just My Luck,Just My Luck
"Mystery, Alaska","Mystery, Alaska","Mystery, Alaska"
The Spy Next Door,The Spy Next Door,The Spy Next Door
A Simple Wish,A Simple Wish,A Simple Wish
Ghosts of Mars,Ghosts of Mars,Ghosts of Mars
Our Brand Is Crisis,Our Brand Is Crisis,Our Brand Is Crisis
Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies
Kundun,Kundun,Kundun
How to Lose Friends & Alienate People,How to Lose Friends & Alienate People,How to Lose Friends (and) Alienate People
Kick-Ass 2,Kick-Ass 2,Kick-Ass 2
Alatriste,Alatriste,Alatriste
Brick Mansions,Brick Mansions,Brick Mansions
Octopussy,Octopussy,Octopussy
Knocked Up,Knocked Up,Knocked Up
My Sister's Keeper,My Sister`s Keeper,My Sister`s Keeper
Welcome Home Roscoe Jenkins,Welcome Home Roscoe Jenkins,Welcome Home Roscoe Jenkins
A Passage to India,A Passage to India,A Passage to India
Notes on a Scandal,Notes on a Scandal,Notes on a Scandal
Rendition,Rendition,Rendition
Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country
Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood
Kiss the Girls,Kiss the Girls,Kiss the Girls
The Blues Brothers,The Blues Brothers,The Blues Brothers
The Sisterhood of the Traveling Pants 2,The Sisterhood of the Traveling Pants 2,The Sisterhood of the Traveling Pants 2
Joyful Noise,Joyful Noise,Joyful Noise
About a Boy,About a Boy,About a Boy
Lake Placid,Lake Placid,Lake Placid
Lucky Number Slevin,Lucky Number Slevin,Lucky Number Slevin
The Right Stuff,The Right Stuff,The Right Stuff
Anonymous,Anonymous,Anonymous
The NeverEnding Story,The NeverEnding Story,The NeverEnding Story
Dark City,Dark City,Dark City
The Duchess,The Duchess,The Duchess
Return to Oz,Return to Oz,Return to Oz
The Newton Boys,The Newton Boys,The Newton Boys
Case 39,Case 39,Case 39
Suspect Zero,Suspect Zero,Suspect Zero
Martian Child,Martian Child,Martian Child
Spy Kids: All the Time in the World,Spy Kids: All the Time in the World,Spy Kids: All the Time in the World
Money Monster,Money Monster,Money Monster
The 51st State,The 51st State,The 51st State
Flawless,Flawless,Flawless
Mindhunters,Mindhunters,Mindhunters
What Just Happened,What Just Happened,What Just Happened
The Statement,The Statement,The Statement
The Magic Flute,The Magic Flute,The Magic Flute
Paul Blart: Mall Cop,Paul Blart: Mall Cop,Paul Blart: Mall Cop
Freaky Friday,Freaky Friday,Freaky Friday
The 40 Year Old Virgin,The 40 Year Old Virgin,The 40 Year Old Virgin
Shakespeare in Love,Shakespeare in Love,Shakespeare in Love
A Walk Among the Tombstones,A Walk Among the Tombstones,A Walk Among the Tombstones
Kindergarten Cop,Kindergarten Cop,Kindergarten Cop
Pineapple Express,Pineapple Express,Pineapple Express
Ever After: A Cinderella Story,Ever After: A Cinderella Story,Ever After: A Cinderella Story
Open Range,Open Range,Open Range
Flatliners,Flatliners,Flatliners
A Bridge Too Far,A Bridge Too Far,A Bridge Too Far
Red Eye,Red Eye,Red Eye
Final Destination 2,Final Destination 2,Final Destination 2
"O Brother, Where Art Thou?","O Brother, Where Art Thou?","O Brother, Where Art Thou?"
Legion,Legion,Legion
Pain & Gain,Pain & Gain,Pain (and) Gain
In Good Company,In Good Company,In Good Company
Clockstoppers,Clockstoppers,Clockstoppers
Silverado,Silverado,Silverado
Brothers,Brothers,Brothers
Agent Cody Banks 2: Destination London,Agent Cody Banks 2: Destination London,Agent Cody Banks 2: Destination London
New Year's Eve,New Year`s Eve,New Year`s Eve
Original Sin,Original Sin,Original Sin
The Raven,The Raven,The Raven
Welcome to Mooseport,Welcome to Mooseport,Welcome to Mooseport
Highlander: The Final Dimension,Highlander: The Final Dimension,Highlander: The Final Dimension
Blood and Wine,Blood and Wine,Blood and Wine
Snow White: A Tale of Terror,Snow White: A Tale of Terror,Snow White: A Tale of Terror
The Curse of the Jade Scorpion,The Curse of the Jade Scorpion,The Curse of the Jade Scorpion
Accidental Love,Accidental Love,Accidental Love
Flipper,Flipper,Flipper
Self/less,Self/less,Self/less
The Constant Gardener,The Constant Gardener,The Constant Gardener
The Passion of the Christ,The Passion of the Christ,The Passion of the Christ
Mrs. Doubtfire,Mrs. Doubtfire,Mrs. Doubtfire
Rain Man,Rain Man,Rain Man
Gran Torino,Gran Torino,Gran Torino
W.,W.,W.
Taken,Taken,Taken
The Best of Me,The Best of Me,The Best of Me
The Bodyguard,The Bodyguard,The Bodyguard
Schindler's List,Schindler`s List,Schindler`s List
The Help,The Help,The Help
The Fifth Estate,The Fifth Estate,The Fifth Estate
Scooby-Doo 2: Monsters Unleashed,Scooby-Doo 2: Monsters Unleashed,Scooby-Doo 2: Monsters Unleashed
Forbidden Kingdom,Forbidden Kingdom,Forbidden Kingdom
Freddy vs. Jason,Freddy vs. Jason,Freddy vs. Jason
The Face of an Angel,The Face of an Angel,The Face of an Angel
Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius
Cloverfield,Cloverfield,Cloverfield
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
The Untouchables,The Untouchables,The Untouchables
No Country for Old Men,No Country for Old Men,No Country for Old Men
Ride Along,Ride Along,Ride Along
Bridget Jones's Diary,Bridget Jones`s Diary,Bridget Jones`s Diary
Chocolat,Chocolat,Chocolat
"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White (and) Blonde"
Parental Guidance,Parental Guidance,Parental Guidance
No Strings Attached,No Strings Attached,No Strings Attached
Tombstone,Tombstone,Tombstone
Romeo Must Die,Romeo Must Die,Romeo Must Die
The Omen,The Omen,The Omen
Final Destination 3,Final Destination 3,Final Destination 3
The Lucky One,The Lucky One,The Lucky One
Bridge to Terabithia,Bridge to Terabithia,Bridge to Terabithia
Finding Neverland,Finding Neverland,Finding Neverland
A Madea Christmas,A Madea Christmas,A Madea Christmas
The Grey,The Grey,The Grey
Hide and Seek,Hide and Seek,Hide and Seek
Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy
GoodFellas,GoodFellas,GoodFellas
Agent Cody Banks,Agent Cody Banks,Agent Cody Banks
Nanny McPhee,Nanny McPhee,Nanny McPhee
Scarface,Scarface,Scarface
Nothing to Lose,Nothing to Lose,Nothing to Lose
The Last Emperor,The Last Emperor,The Last Emperor
Contraband,Contraband,Contraband
Money Talks,Money Talks,Money Talks
There Will Be Blood,There Will Be Blood,There Will Be Blood
The Wild Thornberrys Movie,The Wild Thornberrys Movie,The Wild Thornberrys Movie
Rugrats Go Wild,Rugrats Go Wild,Rugrats Go Wild
Undercover Brother,Undercover Brother,Undercover Brother
The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants
Kiss of the Dragon,Kiss of the Dragon,Kiss of the Dragon
The House Bunny,The House Bunny,The House Bunny
Beauty Shop,Beauty Shop,Beauty Shop
Million Dollar Arm,Million Dollar Arm,Million Dollar Arm
The Giver,The Giver,The Giver
What a Girl Wants,What a Girl Wants,What a Girl Wants
Jeepers Creepers 2,Jeepers Creepers 2,Jeepers Creepers 2
Good Luck Chuck,Good Luck Chuck,Good Luck Chuck
Cradle 2 the Grave,Cradle 2 the Grave,Cradle 2 the Grave
The Hours,The Hours,The Hours
She's the Man,She`s the Man,She`s the Man
Mr. Bean's Holiday,Mr. Bean`s Holiday,Mr. Bean`s Holiday
Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid
Blood Ties,Blood Ties,Blood Ties
August Rush,August Rush,August Rush
Elizabeth,Elizabeth,Elizabeth
Bride of Chucky,Bride of Chucky,Bride of Chucky
Tora! Tora! Tora!,Tora! Tora! Tora!,Tora! Tora! Tora!
Spice World,Spice World,Spice World
The Sitter,The Sitter,The Sitter
Dance Flick,Dance Flick,Dance Flick
The Shawshank Redemption,The Shawshank Redemption,The Shawshank Redemption
Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles
Kingpin,Kingpin,Kingpin
The Gambler,The Gambler,The Gambler
August: Osage County,August: Osage County,August: Osage County
Ice Princess,Ice Princess,Ice Princess
A Lot Like Love,A Lot Like Love,A Lot Like Love
Eddie the Eagle,Eddie the Eagle,Eddie the Eagle
He Got Game,He Got Game,He Got Game
Don Juan DeMarco,Don Juan DeMarco,Don Juan DeMarco
Dear John,Dear John,Dear John
The Losers,The Losers,The Losers
Don't Be Afraid of the Dark,Don`t Be Afraid of the Dark,Don`t Be Afraid of the Dark
War,War,War
Punch-Drunk Love,Punch-Drunk Love,Punch-Drunk Love
EuroTrip,EuroTrip,EuroTrip
Half Past Dead,Half Past Dead,Half Past Dead
Unaccompanied Minors,Unaccompanied Minors,Unaccompanied Minors
"Bright Lights, Big City","Bright Lights, Big City","Bright Lights, Big City"
The Adventures of Pinocchio,The Adventures of Pinocchio,The Adventures of Pinocchio
The Greatest Game Ever Played,The Greatest Game Ever Played,The Greatest Game Ever Played
The Box,The Box,The Box
The Ruins,The Ruins,The Ruins
The Next Best Thing,The Next Best Thing,The Next Best Thing
My Soul to Take,My Soul to Take,My Soul to Take
The Girl Next Door,The Girl Next Door,The Girl Next Door
Maximum Risk,Maximum Risk,Maximum Risk
Stealing Harvard,Stealing Harvard,Stealing Harvard
Legend,Legend,Legend
Hot Rod,Hot Rod,Hot Rod
Shark Night,Shark Night,Shark Night
Angela's Ashes,Angela`s Ashes,Angela`s Ashes
Draft Day,Draft Day,Draft Day
Lifeforce,Lifeforce,Lifeforce
The Conspirator,The Conspirator,The Conspirator
Lords of Dogtown,Lords of Dogtown,Lords of Dogtown
The 33,The 33,The 33
Big Trouble in Little China,Big Trouble in Little China,Big Trouble in Little China
Fly Me to the Moon,Fly Me to the Moon,Fly Me to the Moon
Warrior,Warrior,Warrior
Michael Collins,Michael Collins,Michael Collins
Gettysburg,Gettysburg,Gettysburg
Stop-Loss,Stop-Loss,Stop-Loss
Abandon,Abandon,Abandon
Brokedown Palace,Brokedown Palace,Brokedown Palace
The Possession,The Possession,The Possession
Mrs. Winterbourne,Mrs. Winterbourne,Mrs. Winterbourne
Straw Dogs,Straw Dogs,Straw Dogs
The Hoax,The Hoax,The Hoax
Stone Cold,Stone Cold,Stone Cold
The Road,The Road,The Road
Sheena,Sheena,Sheena
Underclassman,Underclassman,Underclassman
Say It Isn't So,Say It Isn`t So,Say It Isn`t So
The World's Fastest Indian,The World`s Fastest Indian,The World`s Fastest Indian
Tank Girl,Tank Girl,Tank Girl
King's Ransom,King`s Ransom,King`s Ransom
Blindness,Blindness,Blindness
BloodRayne,BloodRayne,BloodRayne
Carnage,Carnage,Carnage
Where the Truth Lies,Where the Truth Lies,Where the Truth Lies
Cirque du Soleil: Worlds Away,Cirque du Soleil: Worlds Away,Cirque du Soleil: Worlds Away
Without Limits,Without Limits,Without Limits
Me and Orson Welles,Me and Orson Welles,Me and Orson Welles
The Best Offer,The Best Offer,The Best Offer
The Bad Lieutenant: Port of Call - New Orleans,The Bad Lieutenant: Port of Call - New Orleans,The Bad Lieutenant: Port of Call - New Orleans
A Turtle's Tale: Sammy's Adventures,A Turtle`s Tale: Sammy`s Adventures,A Turtle`s Tale: Sammy`s Adventures
Little White Lies,Little White Lies,Little White Lies
Love Ranch,Love Ranch,Love Ranch
The True Story of Puss 'n Boots,The True Story of Puss `n Boots,The True Story of Puss `n Boots
Space Dogs,Space Dogs,Space Dogs
The Counselor,The Counselor,The Counselor
Ironclad,Ironclad,Ironclad
Waterloo,Waterloo,Waterloo
Kung Fu Jungle,Kung Fu Jungle,Kung Fu Jungle
Red Sky,Red Sky,Red Sky
Dangerous Liaisons,Dangerous Liaisons,Dangerous Liaisons
On the Road,On the Road,On the Road
Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home
Rocky Balboa,Rocky Balboa,Rocky Balboa
Scream 2,Scream 2,Scream 2
Jane Got a Gun,Jane Got a Gun,Jane Got a Gun
Think Like a Man Too,Think Like a Man Too,Think Like a Man Too
The Whole Nine Yards,The Whole Nine Yards,The Whole Nine Yards
Footloose,Footloose,Footloose
Old School,Old School,Old School
The Fisher King,The Fisher King,The Fisher King
I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,I Still Know What You Did Last Summer
Return to Me,Return to Me,Return to Me
Zack and Miri Make a Porno,Zack and Miri Make a Porno,Zack and Miri Make a Porno
Nurse Betty,Nurse Betty,Nurse Betty
The Men Who Stare at Goats,The Men Who Stare at Goats,The Men Who Stare at Goats
Double Take,Double Take,Double Take
"Girl, Interrupted","Girl, Interrupted","Girl, Interrupted"
Win a Date with Tad Hamilton!,Win a Date with Tad Hamilton!,Win a Date with Tad Hamilton!
Muppets from Space,Muppets from Space,Muppets from Space
The Wiz,The Wiz,The Wiz
Ready to Rumble,Ready to Rumble,Ready to Rumble
Play It to the Bone,Play It to the Bone,Play It to the Bone
I Don't Know How She Does It,I Don`t Know How She Does It,I Don`t Know How She Does It
Piranha 3D,Piranha 3D,Piranha 3D
Beyond the Sea,Beyond the Sea,Beyond the Sea
Meet the Deedles,Meet the Deedles,Meet the Deedles
The Thief and the Cobbler,The Thief and the Cobbler,The Thief and the Cobbler
The Bridge of San Luis Rey,The Bridge of San Luis Rey,The Bridge of San Luis Rey
Faster,Faster,Faster
Howl's Moving Castle,Howl`s Moving Castle,Howl`s Moving Castle
Zombieland,Zombieland,Zombieland
The Waterboy,The Waterboy,The Waterboy
The Empire Strikes Back,The Empire Strikes Back,The Empire Strikes Back
Bad Boys,Bad Boys,Bad Boys
The Naked Gun 2½: The Smell of Fear,The Naked Gun 2½: The Smell of Fear,The Naked Gun 2½: The Smell of Fear
Final Destination,Final Destination,Final Destination
The Ides of March,The Ides of March,The Ides of March
Pitch Black,Pitch Black,Pitch Black
Someone Like You...,Someone Like You...,Someone Like You...
Her,Her,Her
Joy Ride,Joy Ride,Joy Ride
The Adventurer: The Curse of the Midas Box,The Adventurer: The Curse of the Midas Box,The Adventurer: The Curse of the Midas Box
Anywhere But Here,Anywhere But Here,Anywhere But Here
The Crew,The Crew,The Crew
Haywire,Haywire,Haywire
Jaws: The Revenge,Jaws: The Revenge,Jaws: The Revenge
Marvin's Room,Marvin`s Room,Marvin`s Room
The Longshots,The Longshots,The Longshots
The End of the Affair,The End of the Affair,The End of the Affair
Harley Davidson and the Marlboro Man,Harley Davidson and the Marlboro Man,Harley Davidson and the Marlboro Man
In the Valley of Elah,In the Valley of Elah,In the Valley of Elah
Coco Before Chanel,Coco Before Chanel,Coco Before Chanel
Forsaken,Forsaken,Forsaken
Cheri,Cheri,Cheri
Vanity Fair,Vanity Fair,Vanity Fair
Bodyguards and Assassins,Bodyguards and Assassins,Bodyguards and Assassins
1408,1408,1408
Spaceballs,Spaceballs,Spaceballs
The Water Diviner,The Water Diviner,The Water Diviner
Ghost,Ghost,Ghost
There's Something About Mary,There`s Something About Mary,There`s Something About Mary
The Santa Clause,The Santa Clause,The Santa Clause
The Rookie,The Rookie,The Rookie
The Game Plan,The Game Plan,The Game Plan
The Bridges of Madison County,The Bridges of Madison County,The Bridges of Madison County
The Animal,The Animal,The Animal
Gandhi,Gandhi,Gandhi
The Hundred-Foot Journey,The Hundred-Foot Journey,The Hundred-Foot Journey
The Net,The Net,The Net
I Am Sam,I Am Sam,I Am Sam
Son of God,Son of God,Son of God
Underworld,Underworld,Underworld
Derailed,Derailed,Derailed
The Informant!,The Informant!,The Informant!
Shadowlands,Shadowlands,Shadowlands
Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo
